# generated by almanac_calendar/_generate/gen_holidays.py — do not hand-edit
# holidays: 0.101
# country: SG
# range: 2000 .. 2100
# note: 祝日は法改正で変わる。上のバージョンが基づいた法令の時点
date,name
2009-01-27,Chinese New Year
2009-04-10,Good Friday
2009-05-01,Labour Day
2009-05-09,Vesak Day
2009-08-09,National Day
2009-08-10,National Day (observed)
2009-09-20,Hari Raya Puasa
2009-09-21,Hari Raya Puasa (observed)
2009-11-15,Deepavali
2009-11-16,Deepavali (observed)
2009-11-27,Hari Raya Haji
2009-12-25,Christmas Day
2010-01-01,New Year's Day
2010-02-14,Chinese New Year
2010-02-15,Chinese New Year
2010-02-16,Chinese New Year (observed)
2010-04-02,Good Friday
2010-05-01,Labour Day
2010-05-28,Vesak Day
2010-08-09,National Day
2010-09-10,Hari Raya Puasa
2010-11-05,Deepavali
2010-11-17,Hari Raya Haji
2010-12-25,Christmas Day
2011-01-01,New Year's Day
2011-02-03,Chinese New Year
2011-02-04,Chinese New Year
2011-04-22,Good Friday
2011-05-01,Labour Day
2011-05-02,Labour Day (observed)
2011-05-07,Polling Day
2011-05-17,Vesak Day
2011-08-09,National Day
2011-08-30,Hari Raya Puasa
2011-10-26,Deepavali
2011-11-06,Hari Raya Haji
2011-11-07,Hari Raya Haji (observed)
2011-12-25,Christmas Day
2011-12-26,Christmas Day (observed)
2012-01-01,New Year's Day
2012-01-02,New Year's Day (observed)
2012-01-23,Chinese New Year
2012-01-24,Chinese New Year
2012-04-06,Good Friday
2012-05-01,Labour Day
2012-05-05,Vesak Day
2012-08-09,National Day
2012-08-19,Hari Raya Puasa
2012-08-20,Hari Raya Puasa (observed)
2012-10-26,Hari Raya Haji
2012-11-13,Deepavali
2012-12-25,Christmas Day
2013-01-01,New Year's Day
2013-02-10,Chinese New Year
2013-02-11,Chinese New Year
2013-02-12,Chinese New Year (observed)
2013-03-29,Good Friday
2013-05-01,Labour Day
2013-05-24,Vesak Day
2013-08-08,Hari Raya Puasa
2013-08-09,National Day
2013-10-15,Hari Raya Haji
2013-11-02,Deepavali
2013-12-25,Christmas Day
2014-01-01,New Year's Day
2014-01-31,Chinese New Year
2014-02-01,Chinese New Year
2014-04-18,Good Friday
2014-05-01,Labour Day
2014-05-13,Vesak Day
2014-07-28,Hari Raya Puasa
2014-08-09,National Day
2014-10-05,Hari Raya Haji
2014-10-06,Hari Raya Haji (observed)
2014-10-22,Deepavali
2014-12-25,Christmas Day
2015-01-01,New Year's Day
2015-02-19,Chinese New Year
2015-02-20,Chinese New Year
2015-04-03,Good Friday
2015-05-01,Labour Day
2015-06-01,Vesak Day
2015-07-17,Hari Raya Puasa
2015-08-07,SG50 Public Holiday
2015-08-09,National Day
2015-08-10,National Day (observed)
2015-09-11,Polling Day
2015-09-24,Hari Raya Haji
2015-11-10,Deepavali
2015-12-25,Christmas Day
2016-01-01,New Year's Day
2016-02-08,Chinese New Year
2016-02-09,Chinese New Year
2016-03-25,Good Friday
2016-05-01,Labour Day
2016-05-02,Labour Day (observed)
2016-05-21,Vesak Day
2016-07-06,Hari Raya Puasa
2016-08-09,National Day
2016-09-12,Hari Raya Haji
2016-10-29,Deepavali
2016-12-25,Christmas Day
2016-12-26,Christmas Day (observed)
2017-01-01,New Year's Day
2017-01-02,New Year's Day (observed)
2017-01-28,Chinese New Year
2017-01-29,Chinese New Year
2017-01-30,Chinese New Year (observed)
2017-04-14,Good Friday
2017-05-01,Labour Day
2017-05-10,Vesak Day
2017-06-25,Hari Raya Puasa
2017-06-26,Hari Raya Puasa (observed)
2017-08-09,National Day
2017-09-01,Hari Raya Haji
2017-10-18,Deepavali
2017-12-25,Christmas Day
2018-01-01,New Year's Day
2018-02-16,Chinese New Year
2018-02-17,Chinese New Year
2018-03-30,Good Friday
2018-05-01,Labour Day
2018-05-29,Vesak Day
2018-06-15,Hari Raya Puasa
2018-08-09,National Day
2018-08-22,Hari Raya Haji
2018-11-06,Deepavali
2018-12-25,Christmas Day
2019-01-01,New Year's Day
2019-02-05,Chinese New Year
2019-02-06,Chinese New Year
2019-04-19,Good Friday
2019-05-01,Labour Day
2019-05-19,Vesak Day
2019-05-20,Vesak Day (observed)
2019-06-05,Hari Raya Puasa
2019-08-09,National Day
2019-08-11,Hari Raya Haji
2019-08-12,Hari Raya Haji (observed)
2019-10-27,Deepavali
2019-10-28,Deepavali (observed)
2019-12-25,Christmas Day
2020-01-01,New Year's Day
2020-01-25,Chinese New Year
2020-01-26,Chinese New Year
2020-01-27,Chinese New Year (observed)
2020-04-10,Good Friday
2020-05-01,Labour Day
2020-05-07,Vesak Day
2020-05-24,Hari Raya Puasa
2020-05-25,Hari Raya Puasa (observed)
2020-07-10,Polling Day
2020-07-31,Hari Raya Haji
2020-08-09,National Day
2020-08-10,National Day (observed)
2020-11-14,Deepavali
2020-12-25,Christmas Day
2021-01-01,New Year's Day
2021-02-12,Chinese New Year
2021-02-13,Chinese New Year
2021-04-02,Good Friday
2021-05-01,Labour Day
2021-05-13,Hari Raya Puasa
2021-05-26,Vesak Day
2021-07-20,Hari Raya Haji
2021-08-09,National Day
2021-11-04,Deepavali
2021-12-25,Christmas Day
2022-01-01,New Year's Day
2022-02-01,Chinese New Year
2022-02-02,Chinese New Year
2022-04-15,Good Friday
2022-05-01,Labour Day
2022-05-02,Labour Day (observed)
2022-05-03,Hari Raya Puasa
2022-05-15,Vesak Day
2022-05-16,Vesak Day (observed)
2022-07-10,Hari Raya Haji
2022-07-11,Hari Raya Haji (observed)
2022-08-09,National Day
2022-10-24,Deepavali
2022-12-25,Christmas Day
2022-12-26,Christmas Day (observed)
2023-01-01,New Year's Day
2023-01-02,New Year's Day (observed)
2023-01-22,Chinese New Year
2023-01-23,Chinese New Year
2023-01-24,Chinese New Year (observed)
2023-04-07,Good Friday
2023-04-22,Hari Raya Puasa
2023-05-01,Labour Day
2023-06-02,Vesak Day
2023-06-29,Hari Raya Haji
2023-08-09,National Day
2023-09-01,Polling Day
2023-11-12,Deepavali
2023-11-13,Deepavali (observed)
2023-12-25,Christmas Day
2024-01-01,New Year's Day
2024-02-10,Chinese New Year
2024-02-11,Chinese New Year
2024-02-12,Chinese New Year (observed)
2024-03-29,Good Friday
2024-04-10,Hari Raya Puasa
2024-05-01,Labour Day
2024-05-22,Vesak Day
2024-06-17,Hari Raya Haji
2024-08-09,National Day
2024-10-31,Deepavali
2024-12-25,Christmas Day
2025-01-01,New Year's Day
2025-01-29,Chinese New Year
2025-01-30,Chinese New Year
2025-03-31,Hari Raya Puasa
2025-04-18,Good Friday
2025-05-01,Labour Day
2025-05-03,Polling Day
2025-05-12,Vesak Day
2025-06-07,Hari Raya Haji
2025-08-09,National Day
2025-10-20,Deepavali
2025-12-25,Christmas Day
2026-01-01,New Year's Day
2026-02-17,Chinese New Year
2026-02-18,Chinese New Year
2026-03-21,Hari Raya Puasa
2026-04-03,Good Friday
2026-05-01,Labour Day
2026-05-27,Hari Raya Haji
2026-05-31,Vesak Day
2026-06-01,Vesak Day (observed)
2026-08-09,National Day
2026-08-10,National Day (observed)
2026-11-08,Deepavali
2026-11-09,Deepavali (observed)
2026-12-25,Christmas Day
2027-01-01,New Year's Day
2027-02-06,Chinese New Year
2027-02-07,Chinese New Year
2027-02-08,Chinese New Year (observed)
2027-03-10,Hari Raya Puasa
2027-03-26,Good Friday
2027-05-01,Labour Day
2027-05-17,Hari Raya Haji
2027-05-20,Vesak Day
2027-08-09,National Day
2027-10-28,Deepavali
2027-12-25,Christmas Day
2028-01-01,New Year's Day
2028-01-26,Chinese New Year (estimated)
2028-01-27,Chinese New Year (estimated)
2028-02-26,Hari Raya Puasa (estimated)
2028-04-14,Good Friday
2028-05-01,Labour Day
2028-05-05,Hari Raya Haji (estimated)
2028-05-09,Vesak Day (estimated)
2028-08-09,National Day
2028-11-15,Deepavali
2028-12-25,Christmas Day
2029-01-01,New Year's Day
2029-02-13,Chinese New Year (estimated)
2029-02-14,Chinese New Year (estimated); Hari Raya Puasa (estimated)
2029-03-30,Good Friday
2029-04-24,Hari Raya Haji (estimated)
2029-05-01,Labour Day
2029-05-27,Vesak Day (estimated)
2029-05-28,Vesak Day (observed、 estimated)
2029-08-09,National Day
2029-11-05,Deepavali
2029-12-25,Christmas Day
2030-01-01,New Year's Day
2030-02-03,Chinese New Year (estimated)
2030-02-04,Chinese New Year (estimated); Hari Raya Puasa (estimated)
2030-02-05,Chinese New Year (observed、 estimated)
2030-04-13,Hari Raya Haji (estimated)
2030-04-19,Good Friday
2030-05-01,Labour Day
2030-05-16,Vesak Day (estimated)
2030-08-09,National Day
2030-10-26,Deepavali
2030-12-25,Christmas Day
2031-01-01,New Year's Day
2031-01-23,Chinese New Year (estimated)
2031-01-24,Chinese New Year (estimated); Hari Raya Puasa (estimated)
2031-04-02,Hari Raya Haji (estimated)
2031-04-11,Good Friday
2031-05-01,Labour Day
2031-06-04,Vesak Day (estimated)
2031-08-09,National Day
2031-11-14,Deepavali
2031-12-25,Christmas Day
2032-01-01,New Year's Day
2032-01-14,Hari Raya Puasa (estimated)
2032-02-11,Chinese New Year (estimated)
2032-02-12,Chinese New Year (estimated)
2032-03-22,Hari Raya Haji (estimated)
2032-03-26,Good Friday
2032-05-01,Labour Day
2032-05-23,Vesak Day (estimated)
2032-05-24,Vesak Day (observed、 estimated)
2032-08-09,National Day
2032-11-02,Deepavali
2032-12-25,Christmas Day
2033-01-01,New Year's Day
2033-01-02,Hari Raya Puasa (estimated)
2033-01-03,Hari Raya Puasa (observed、 estimated)
2033-01-31,Chinese New Year (estimated)
2033-02-01,Chinese New Year (estimated)
2033-03-11,Hari Raya Haji (estimated)
2033-04-15,Good Friday
2033-05-01,Labour Day
2033-05-02,Labour Day (observed)
2033-05-13,Vesak Day (estimated)
2033-08-09,National Day
2033-10-22,Deepavali
2033-12-23,Hari Raya Puasa (estimated)
2033-12-25,Christmas Day
2033-12-26,Christmas Day (observed)
2034-01-01,New Year's Day
2034-01-02,New Year's Day (observed)
2034-02-19,Chinese New Year (estimated)
2034-02-20,Chinese New Year (estimated)
2034-02-21,Chinese New Year (observed、 estimated)
2034-03-01,Hari Raya Haji (estimated)
2034-04-07,Good Friday
2034-05-01,Labour Day
2034-06-01,Vesak Day (estimated)
2034-08-09,National Day
2034-11-10,Deepavali
2034-12-12,Hari Raya Puasa (estimated)
2034-12-25,Christmas Day
2035-01-01,New Year's Day
2035-02-08,Chinese New Year (estimated)
2035-02-09,Chinese New Year (estimated)
2035-02-18,Hari Raya Haji (estimated)
2035-02-19,Hari Raya Haji (observed、 estimated)
2035-03-23,Good Friday
2035-05-01,Labour Day
2035-05-22,Vesak Day (estimated)
2035-08-09,National Day
2035-10-30,Deepavali
2035-12-01,Hari Raya Puasa (estimated)
2035-12-25,Christmas Day
2036-01-01,New Year's Day
2036-01-28,Chinese New Year (estimated)
2036-01-29,Chinese New Year (estimated)
2036-02-07,Hari Raya Haji (estimated)
2036-04-11,Good Friday
2036-05-01,Labour Day
2036-05-10,Vesak Day (estimated)
2036-08-09,National Day
2036-11-17,Deepavali
2036-11-19,Hari Raya Puasa (estimated)
2036-12-25,Christmas Day
2037-01-01,New Year's Day
2037-01-26,Hari Raya Haji (estimated)
2037-02-15,Chinese New Year (estimated)
2037-02-16,Chinese New Year (estimated)
2037-02-17,Chinese New Year (observed、 estimated)
2037-04-03,Good Friday
2037-05-01,Labour Day
2037-05-29,Vesak Day (estimated)
2037-08-09,National Day
2037-08-10,National Day (observed)
2037-11-06,Deepavali
2037-11-08,Hari Raya Puasa (estimated)
2037-11-09,Hari Raya Puasa (observed、 estimated)
2037-12-25,Christmas Day
2038-01-01,New Year's Day
2038-01-16,Hari Raya Haji (estimated)
2038-02-04,Chinese New Year (estimated)
2038-02-05,Chinese New Year (estimated)
2038-04-23,Good Friday
2038-05-01,Labour Day
2038-05-18,Vesak Day (estimated)
2038-08-09,National Day
2038-10-27,Deepavali
2038-10-29,Hari Raya Puasa (estimated)
2038-12-25,Christmas Day
2039-01-01,New Year's Day
2039-01-05,Hari Raya Haji (estimated)
2039-01-24,Chinese New Year (estimated)
2039-01-25,Chinese New Year (estimated)
2039-04-08,Good Friday
2039-05-01,Labour Day
2039-05-02,Labour Day (observed)
2039-05-07,Vesak Day (estimated)
2039-08-09,National Day
2039-10-19,Hari Raya Puasa (estimated)
2039-11-15,Deepavali
2039-12-25,Christmas Day
2039-12-26,Hari Raya Haji (estimated)
2039-12-27,Christmas Day (observed)
2040-01-01,New Year's Day
2040-01-02,New Year's Day (observed)
2040-02-12,Chinese New Year (estimated)
2040-02-13,Chinese New Year (estimated)
2040-02-14,Chinese New Year (observed、 estimated)
2040-03-30,Good Friday
2040-05-01,Labour Day
2040-05-25,Vesak Day (estimated)
2040-08-09,National Day
2040-10-07,Hari Raya Puasa (estimated)
2040-10-08,Hari Raya Puasa (observed、 estimated)
2040-11-04,Deepavali
2040-11-05,Deepavali (observed)
2040-12-14,Hari Raya Haji (estimated)
2040-12-25,Christmas Day
2041-01-01,New Year's Day
2041-02-01,Chinese New Year (estimated)
2041-02-02,Chinese New Year (estimated)
2041-04-19,Good Friday
2041-05-01,Labour Day
2041-05-14,Vesak Day (estimated)
2041-08-09,National Day
2041-09-26,Hari Raya Puasa (estimated)
2041-10-24,Deepavali
2041-12-04,Hari Raya Haji (estimated)
2041-12-25,Christmas Day
2042-01-01,New Year's Day
2042-01-22,Chinese New Year (estimated)
2042-01-23,Chinese New Year (estimated)
2042-04-04,Good Friday
2042-05-01,Labour Day
2042-06-02,Vesak Day (estimated)
2042-08-09,National Day
2042-09-15,Hari Raya Puasa (estimated)
2042-11-12,Deepavali
2042-11-23,Hari Raya Haji (estimated)
2042-11-24,Hari Raya Haji (observed、 estimated)
2042-12-25,Christmas Day
2043-01-01,New Year's Day
2043-02-10,Chinese New Year (estimated)
2043-02-11,Chinese New Year (estimated)
2043-03-27,Good Friday
2043-05-01,Labour Day
2043-05-23,Vesak Day (estimated)
2043-08-09,National Day
2043-08-10,National Day (observed)
2043-09-04,Hari Raya Puasa (estimated)
2043-11-01,Deepavali
2043-11-02,Deepavali (observed)
2043-11-12,Hari Raya Haji (estimated)
2043-12-25,Christmas Day
2044-01-01,New Year's Day
2044-01-30,Chinese New Year (estimated)
2044-01-31,Chinese New Year (estimated)
2044-02-01,Chinese New Year (observed、 estimated)
2044-04-15,Good Friday
2044-05-01,Labour Day
2044-05-02,Labour Day (observed)
2044-05-12,Vesak Day (estimated)
2044-08-09,National Day
2044-08-24,Hari Raya Puasa (estimated)
2044-10-31,Hari Raya Haji (estimated)
2044-11-18,Deepavali
2044-12-25,Christmas Day
2044-12-26,Christmas Day (observed)
2045-01-01,New Year's Day
2045-01-02,New Year's Day (observed)
2045-02-17,Chinese New Year (estimated)
2045-02-18,Chinese New Year (estimated)
2045-04-07,Good Friday
2045-05-01,Labour Day
2045-05-31,Vesak Day (estimated)
2045-08-09,National Day
2045-08-14,Hari Raya Puasa (estimated)
2045-10-21,Hari Raya Haji (estimated)
2045-11-08,Deepavali
2045-12-25,Christmas Day
2046-01-01,New Year's Day
2046-02-06,Chinese New Year (estimated)
2046-02-07,Chinese New Year (estimated)
2046-03-23,Good Friday
2046-05-01,Labour Day
2046-05-20,Vesak Day (estimated)
2046-05-21,Vesak Day (observed、 estimated)
2046-08-03,Hari Raya Puasa (estimated)
2046-08-09,National Day
2046-10-10,Hari Raya Haji (estimated)
2046-10-28,Deepavali
2046-10-29,Deepavali (observed)
2046-12-25,Christmas Day
2047-01-01,New Year's Day
2047-01-26,Chinese New Year (estimated)
2047-01-27,Chinese New Year (estimated)
2047-01-28,Chinese New Year (observed、 estimated)
2047-04-12,Good Friday
2047-05-01,Labour Day
2047-05-09,Vesak Day (estimated)
2047-07-24,Hari Raya Puasa (estimated)
2047-08-09,National Day
2047-09-30,Hari Raya Haji (estimated)
2047-11-16,Deepavali
2047-12-25,Christmas Day
2048-01-01,New Year's Day
2048-02-14,Chinese New Year (estimated)
2048-02-15,Chinese New Year (estimated)
2048-04-03,Good Friday
2048-05-01,Labour Day
2048-05-27,Vesak Day (estimated)
2048-07-12,Hari Raya Puasa (estimated)
2048-07-13,Hari Raya Puasa (observed、 estimated)
2048-08-09,National Day
2048-08-10,National Day (observed)
2048-09-19,Hari Raya Haji (estimated)
2048-11-05,Deepavali
2048-12-25,Christmas Day
2049-01-01,New Year's Day
2049-02-02,Chinese New Year (estimated)
2049-02-03,Chinese New Year (estimated)
2049-04-16,Good Friday
2049-05-01,Labour Day
2049-05-16,Vesak Day (estimated)
2049-05-17,Vesak Day (observed、 estimated)
2049-07-01,Hari Raya Puasa (estimated)
2049-08-09,National Day
2049-09-08,Hari Raya Haji (estimated)
2049-10-26,Deepavali
2049-12-25,Christmas Day
2050-01-01,New Year's Day
2050-01-23,Chinese New Year (estimated)
2050-01-24,Chinese New Year (estimated)
2050-01-25,Chinese New Year (observed、 estimated)
2050-04-08,Good Friday
2050-05-01,Labour Day
2050-05-02,Labour Day (observed)
2050-06-04,Vesak Day (estimated)
2050-06-20,Hari Raya Puasa (estimated)
2050-08-09,National Day
2050-08-28,Hari Raya Haji (estimated)
2050-08-29,Hari Raya Haji (observed、 estimated)
2050-11-13,Deepavali
2050-11-14,Deepavali (observed)
2050-12-25,Christmas Day
2050-12-26,Christmas Day (observed)
2051-01-01,New Year's Day
2051-01-02,New Year's Day (observed)
2051-02-11,Chinese New Year (estimated)
2051-02-12,Chinese New Year (estimated)
2051-02-13,Chinese New Year (observed、 estimated)
2051-03-31,Good Friday
2051-05-01,Labour Day
2051-05-24,Vesak Day (estimated)
2051-06-10,Hari Raya Puasa (estimated)
2051-08-09,National Day
2051-08-17,Hari Raya Haji (estimated)
2051-11-02,Deepavali
2051-12-25,Christmas Day
2052-01-01,New Year's Day
2052-02-01,Chinese New Year (estimated)
2052-02-02,Chinese New Year (estimated)
2052-04-19,Good Friday
2052-05-01,Labour Day
2052-05-13,Vesak Day (estimated)
2052-05-29,Hari Raya Puasa (estimated)
2052-08-05,Hari Raya Haji (estimated)
2052-08-09,National Day
2052-11-20,Deepavali
2052-12-25,Christmas Day
2053-01-01,New Year's Day
2053-02-19,Chinese New Year (estimated)
2053-02-20,Chinese New Year (estimated)
2053-04-04,Good Friday
2053-05-01,Labour Day
2053-05-19,Hari Raya Puasa (estimated)
2053-06-01,Vesak Day (estimated)
2053-06-02,Vesak Day (observed、 estimated)
2053-07-26,Hari Raya Haji (estimated)
2053-08-09,National Day
2053-11-09,Deepavali
2053-11-10,Deepavali (observed)
2053-12-25,Christmas Day
2054-01-01,New Year's Day
2054-02-08,Chinese New Year (estimated)
2054-02-09,Chinese New Year (estimated)
2054-02-10,Chinese New Year (observed、 estimated)
2054-03-27,Good Friday
2054-05-01,Labour Day
2054-05-09,Hari Raya Puasa (estimated)
2054-05-22,Vesak Day (estimated)
2054-07-15,Hari Raya Haji (estimated)
2054-08-09,National Day
2054-08-10,National Day (observed)
2054-10-30,Deepavali
2054-12-25,Christmas Day
2055-01-01,New Year's Day
2055-01-28,Chinese New Year (estimated)
2055-01-29,Chinese New Year (estimated)
2055-04-16,Good Friday
2055-04-28,Hari Raya Puasa (estimated)
2055-05-01,Labour Day
2055-05-11,Vesak Day (estimated)
2055-07-05,Hari Raya Haji (estimated)
2055-08-09,National Day
2055-11-18,Deepavali
2055-12-25,Christmas Day
2056-01-01,New Year's Day
2056-02-15,Chinese New Year (estimated)
2056-02-16,Chinese New Year (estimated)
2056-03-31,Good Friday
2056-04-16,Hari Raya Puasa (estimated)
2056-04-17,Hari Raya Puasa (observed、 estimated)
2056-05-01,Labour Day
2056-05-29,Vesak Day (estimated)
2056-06-23,Hari Raya Haji (estimated)
2056-08-09,National Day
2056-11-06,Deepavali
2056-12-25,Christmas Day
2057-01-01,New Year's Day
2057-02-04,Chinese New Year (estimated)
2057-02-05,Chinese New Year (estimated)
2057-02-06,Chinese New Year (observed、 estimated)
2057-04-05,Hari Raya Puasa (estimated)
2057-04-20,Good Friday
2057-05-01,Labour Day
2057-05-18,Vesak Day (estimated)
2057-06-12,Hari Raya Haji (estimated)
2057-08-09,National Day
2057-10-27,Deepavali
2057-12-25,Christmas Day
2058-01-01,New Year's Day
2058-01-24,Chinese New Year (estimated)
2058-01-25,Chinese New Year (estimated)
2058-03-25,Hari Raya Puasa (estimated)
2058-04-12,Good Friday
2058-05-01,Labour Day
2058-05-07,Vesak Day (estimated)
2058-06-01,Hari Raya Haji (estimated)
2058-08-09,National Day
2058-11-15,Deepavali
2058-12-25,Christmas Day
2059-01-01,New Year's Day
2059-02-12,Chinese New Year (estimated)
2059-02-13,Chinese New Year (estimated)
2059-03-15,Hari Raya Puasa (estimated)
2059-03-28,Good Friday
2059-05-01,Labour Day
2059-05-22,Hari Raya Haji (estimated)
2059-05-26,Vesak Day (estimated)
2059-08-09,National Day
2059-11-04,Deepavali
2059-12-25,Christmas Day
2060-01-01,New Year's Day
2060-02-02,Chinese New Year (estimated)
2060-02-03,Chinese New Year (estimated)
2060-03-04,Hari Raya Puasa (estimated)
2060-04-16,Good Friday
2060-05-01,Labour Day
2060-05-10,Hari Raya Haji (estimated)
2060-05-14,Vesak Day (estimated)
2060-08-09,National Day
2060-10-23,Deepavali
2060-12-25,Christmas Day
2061-01-01,New Year's Day
2061-01-21,Chinese New Year (estimated)
2061-01-22,Chinese New Year (estimated)
2061-02-21,Hari Raya Puasa (estimated)
2061-04-08,Good Friday
2061-04-30,Hari Raya Haji (estimated)
2061-05-01,Labour Day
2061-05-02,Labour Day (observed)
2061-06-02,Vesak Day (estimated)
2061-08-09,National Day
2061-11-11,Deepavali
2061-12-25,Christmas Day
2061-12-26,Christmas Day (observed)
2062-01-01,New Year's Day
2062-01-02,New Year's Day (observed)
2062-02-09,Chinese New Year (estimated)
2062-02-10,Chinese New Year (estimated); Hari Raya Puasa (estimated)
2062-03-24,Good Friday
2062-04-20,Hari Raya Haji (estimated)
2062-05-01,Labour Day
2062-05-23,Vesak Day (estimated)
2062-08-09,National Day
2062-10-31,Deepavali
2062-12-25,Christmas Day
2063-01-01,New Year's Day
2063-01-29,Chinese New Year (estimated)
2063-01-30,Chinese New Year (estimated); Hari Raya Puasa (estimated)
2063-04-09,Hari Raya Haji (estimated)
2063-04-13,Good Friday
2063-05-01,Labour Day
2063-05-12,Vesak Day (estimated)
2063-08-09,National Day
2063-11-19,Deepavali
2063-12-25,Christmas Day
2064-01-01,New Year's Day
2064-01-20,Hari Raya Puasa (estimated)
2064-01-21,Hari Raya Puasa (observed、 estimated)
2064-02-17,Chinese New Year (estimated)
2064-02-18,Chinese New Year (estimated)
2064-02-19,Chinese New Year (observed、 estimated)
2064-03-28,Hari Raya Haji (estimated)
2064-04-04,Good Friday
2064-05-01,Labour Day
2064-05-30,Vesak Day (estimated)
2064-08-09,National Day
2064-11-08,Deepavali
2064-12-25,Christmas Day
2065-01-01,New Year's Day
2065-01-08,Hari Raya Puasa (estimated)
2065-02-05,Chinese New Year (estimated)
2065-02-06,Chinese New Year (estimated)
2065-03-17,Hari Raya Haji (estimated)
2065-03-27,Good Friday
2065-05-01,Labour Day
2065-05-19,Vesak Day (estimated)
2065-08-09,National Day
2065-08-10,National Day (observed)
2065-10-28,Deepavali
2065-12-25,Christmas Day
2065-12-28,Hari Raya Puasa (estimated)
2066-01-01,New Year's Day
2066-01-26,Chinese New Year (estimated)
2066-01-27,Chinese New Year (estimated)
2066-03-06,Hari Raya Haji (estimated)
2066-04-09,Good Friday
2066-05-01,Labour Day
2066-05-08,Vesak Day (estimated)
2066-08-09,National Day
2066-11-16,Deepavali
2066-12-18,Hari Raya Puasa (estimated)
2066-12-25,Christmas Day
2067-01-01,New Year's Day
2067-02-14,Chinese New Year (estimated)
2067-02-15,Chinese New Year (estimated)
2067-02-24,Hari Raya Haji (estimated)
2067-04-01,Good Friday
2067-05-01,Labour Day
2067-05-02,Labour Day (observed)
2067-05-27,Vesak Day (estimated)
2067-08-09,National Day
2067-11-06,Deepavali
2067-11-07,Deepavali (observed)
