# generated by almanac_calendar/_generate/gen_holidays.py — do not hand-edit
# holidays: 0.101
# country: CN
# range: 2000 .. 2100
# note: 祝日は法改正で変わる。上のバージョンが基づいた法令の時点
date,name
2013-10-07,休息日（由 2013-10-12 调休）
2014-01-01,元旦
2014-01-31,春节
2014-02-01,春节
2014-02-02,春节
2014-02-03,春节（补假）
2014-02-04,春节（补假）
2014-02-05,休息日（由 2014-01-26 调休）
2014-02-06,休息日（由 2014-02-08 调休）
2014-04-05,清明节
2014-04-07,清明节（补假）
2014-05-01,劳动节
2014-05-02,休息日（由 2014-05-04 调休）
2014-06-02,端午节
2014-09-08,中秋节
2014-10-01,国庆节
2014-10-02,国庆节
2014-10-03,国庆节
2014-10-06,休息日（由 2014-09-28 调休）
2014-10-07,休息日（由 2014-10-11 调休）
2015-01-01,元旦
2015-01-02,休息日（由 2015-01-04 调休）
2015-02-18,休息日（由 2015-02-15 调休）
2015-02-19,春节
2015-02-20,春节
2015-02-21,春节
2015-02-23,春节（补假）
2015-02-24,休息日（由 2015-02-28 调休）
2015-04-05,清明节
2015-04-06,清明节（补假）
2015-05-01,劳动节
2015-06-20,端午节
2015-06-22,端午节（补假）
2015-09-03,中国人民抗日战争暨世界反法西斯战争胜利70周年纪念日
2015-09-04,休息日（由 2015-09-06 调休）
2015-09-27,中秋节
2015-10-01,国庆节
2015-10-02,国庆节
2015-10-03,国庆节
2015-10-05,国庆节（补假）
2015-10-06,中秋节（补假）
2015-10-07,休息日（由 2015-10-10 调休）
2016-01-01,元旦
2016-02-08,春节
2016-02-09,春节
2016-02-10,春节
2016-02-11,休息日（由 2016-02-06 调休）
2016-02-12,休息日（由 2016-02-14 调休）
2016-04-04,清明节
2016-05-01,劳动节
2016-05-02,劳动节（补假）
2016-06-09,端午节
2016-06-10,休息日（由 2016-06-12 调休）
2016-09-15,中秋节
2016-09-16,休息日（由 2016-09-18 调休）
2016-10-01,国庆节
2016-10-02,国庆节
2016-10-03,国庆节
2016-10-04,国庆节（补假）
2016-10-05,国庆节（补假）
2016-10-06,休息日（由 2016-10-08 调休）
2016-10-07,休息日（由 2016-10-09 调休）
2017-01-01,元旦
2017-01-02,元旦（补假）
2017-01-27,休息日（由 2017-01-22 调休）
2017-01-28,春节
2017-01-29,春节
2017-01-30,春节
2017-01-31,春节（补假）
2017-02-01,春节（补假）
2017-02-02,休息日（由 2017-02-04 调休）
2017-04-03,休息日（由 2017-04-01 调休）
2017-04-04,清明节
2017-05-01,劳动节
2017-05-29,休息日（由 2017-05-27 调休）
2017-05-30,端午节
2017-10-01,国庆节
2017-10-02,国庆节
2017-10-03,国庆节
2017-10-04,中秋节
2017-10-05,国庆节（补假）
2017-10-06,休息日（由 2017-09-30 调休）
2018-01-01,元旦
2018-02-15,休息日（由 2018-02-11 调休）
2018-02-16,春节
2018-02-17,春节
2018-02-18,春节
2018-02-19,春节（补假）
2018-02-20,春节（补假）
2018-02-21,休息日（由 2018-02-24 调休）
2018-04-05,清明节
2018-04-06,休息日（由 2018-04-08 调休）
2018-04-30,休息日（由 2018-04-28 调休）
2018-05-01,劳动节
2018-06-18,端午节
2018-09-24,中秋节
2018-10-01,国庆节
2018-10-02,国庆节
2018-10-03,国庆节
2018-10-04,休息日（由 2018-09-29 调休）
2018-10-05,休息日（由 2018-09-30 调休）
2018-12-31,休息日（由 2018-12-29 调休）
2019-01-01,元旦
2019-02-04,休息日（由 2019-02-02 调休）
2019-02-05,春节
2019-02-06,春节
2019-02-07,春节
2019-02-08,休息日（由 2019-02-03 调休）
2019-04-05,清明节
2019-05-01,劳动节
2019-05-02,休息日（由 2019-04-28 调休）
2019-05-03,休息日（由 2019-05-05 调休）
2019-06-07,端午节
2019-09-13,中秋节
2019-10-01,国庆节
2019-10-02,国庆节
2019-10-03,国庆节
2019-10-04,休息日（由 2019-09-29 调休）
2019-10-07,休息日（由 2019-10-12 调休）
2020-01-01,元旦
2020-01-24,休息日（由 2020-01-19 调休）
2020-01-25,春节
2020-01-26,春节
2020-01-27,春节
2020-01-28,春节（补假）
2020-01-29,春节（补假）
2020-01-30,春节（补假）
2020-01-31,春节延长假期
2020-02-01,春节延长假期
2020-02-02,春节延长假期
