# generated by almanac_calendar/_generate/gen_holidays.py — do not hand-edit
# holidays: 0.101
# country: DE
# range: 2000 .. 2100
# note: 祝日は法改正で変わる。上のバージョンが基づいた法令の時点
date,name
2051-10-03,Tag der Deutschen Einheit
2051-12-25,Erster Weihnachtstag
2051-12-26,Zweiter Weihnachtstag
2052-01-01,Neujahr
2052-04-19,Karfreitag
2052-04-22,Ostermontag
2052-05-01,Erster Mai
2052-05-30,Christi Himmelfahrt
2052-06-10,Pfingstmontag
2052-10-03,Tag der Deutschen Einheit
2052-12-25,Erster Weihnachtstag
2052-12-26,Zweiter Weihnachtstag
2053-01-01,Neujahr
2053-04-04,Karfreitag
2053-04-07,Ostermontag
2053-05-01,Erster Mai
2053-05-15,Christi Himmelfahrt
2053-05-26,Pfingstmontag
2053-10-03,Tag der Deutschen Einheit
2053-12-25,Erster Weihnachtstag
2053-12-26,Zweiter Weihnachtstag
2054-01-01,Neujahr
2054-03-27,Karfreitag
2054-03-30,Ostermontag
2054-05-01,Erster Mai
2054-05-07,Christi Himmelfahrt
2054-05-18,Pfingstmontag
2054-10-03,Tag der Deutschen Einheit
2054-12-25,Erster Weihnachtstag
2054-12-26,Zweiter Weihnachtstag
2055-01-01,Neujahr
2055-04-16,Karfreitag
2055-04-19,Ostermontag
2055-05-01,Erster Mai
2055-05-27,Christi Himmelfahrt
2055-06-07,Pfingstmontag
2055-10-03,Tag der Deutschen Einheit
2055-12-25,Erster Weihnachtstag
2055-12-26,Zweiter Weihnachtstag
2056-01-01,Neujahr
2056-03-31,Karfreitag
2056-04-03,Ostermontag
2056-05-01,Erster Mai
2056-05-11,Christi Himmelfahrt
2056-05-22,Pfingstmontag
2056-10-03,Tag der Deutschen Einheit
2056-12-25,Erster Weihnachtstag
2056-12-26,Zweiter Weihnachtstag
2057-01-01,Neujahr
2057-04-20,Karfreitag
2057-04-23,Ostermontag
2057-05-01,Erster Mai
2057-05-31,Christi Himmelfahrt
2057-06-11,Pfingstmontag
2057-10-03,Tag der Deutschen Einheit
2057-12-25,Erster Weihnachtstag
2057-12-26,Zweiter Weihnachtstag
2058-01-01,Neujahr
2058-04-12,Karfreitag
2058-04-15,Ostermontag
2058-05-01,Erster Mai
2058-05-23,Christi Himmelfahrt
2058-06-03,Pfingstmontag
2058-10-03,Tag der Deutschen Einheit
2058-12-25,Erster Weihnachtstag
2058-12-26,Zweiter Weihnachtstag
2059-01-01,Neujahr
2059-03-28,Karfreitag
2059-03-31,Ostermontag
2059-05-01,Erster Mai
2059-05-08,Christi Himmelfahrt
2059-05-19,Pfingstmontag
2059-10-03,Tag der Deutschen Einheit
2059-12-25,Erster Weihnachtstag
2059-12-26,Zweiter Weihnachtstag
2060-01-01,Neujahr
2060-04-16,Karfreitag
2060-04-19,Ostermontag
2060-05-01,Erster Mai
2060-05-27,Christi Himmelfahrt
2060-06-07,Pfingstmontag
2060-10-03,Tag der Deutschen Einheit
2060-12-25,Erster Weihnachtstag
2060-12-26,Zweiter Weihnachtstag
2061-01-01,Neujahr
2061-04-08,Karfreitag
2061-04-11,Ostermontag
2061-05-01,Erster Mai
2061-05-19,Christi Himmelfahrt
2061-05-30,Pfingstmontag
2061-10-03,Tag der Deutschen Einheit
2061-12-25,Erster Weihnachtstag
2061-12-26,Zweiter Weihnachtstag
2062-01-01,Neujahr
2062-03-24,Karfreitag
2062-03-27,Ostermontag
2062-05-01,Erster Mai
2062-05-04,Christi Himmelfahrt
2062-05-15,Pfingstmontag
2062-10-03,Tag der Deutschen Einheit
2062-12-25,Erster Weihnachtstag
2062-12-26,Zweiter Weihnachtstag
2063-01-01,Neujahr
2063-04-13,Karfreitag
2063-04-16,Ostermontag
2063-05-01,Erster Mai
2063-05-24,Christi Himmelfahrt
2063-06-04,Pfingstmontag
2063-10-03,Tag der Deutschen Einheit
2063-12-25,Erster Weihnachtstag
2063-12-26,Zweiter Weihnachtstag
2064-01-01,Neujahr
2064-04-04,Karfreitag
2064-04-07,Ostermontag
2064-05-01,Erster Mai
2064-05-15,Christi Himmelfahrt
2064-05-26,Pfingstmontag
2064-10-03,Tag der Deutschen Einheit
2064-12-25,Erster Weihnachtstag
2064-12-26,Zweiter Weihnachtstag
2065-01-01,Neujahr
2065-03-27,Karfreitag
2065-03-30,Ostermontag
2065-05-01,Erster Mai
2065-05-07,Christi Himmelfahrt
2065-05-18,Pfingstmontag
2065-10-03,Tag der Deutschen Einheit
2065-12-25,Erster Weihnachtstag
2065-12-26,Zweiter Weihnachtstag
2066-01-01,Neujahr
2066-04-09,Karfreitag
2066-04-12,Ostermontag
2066-05-01,Erster Mai
2066-05-20,Christi Himmelfahrt
2066-05-31,Pfingstmontag
2066-10-03,Tag der Deutschen Einheit
2066-12-25,Erster Weihnachtstag
2066-12-26,Zweiter Weihnachtstag
2067-01-01,Neujahr
2067-04-01,Karfreitag
2067-04-04,Ostermontag
2067-05-01,Erster Mai
2067-05-12,Christi Himmelfahrt
2067-05-23,Pfingstmontag
2067-10-03,Tag der Deutschen Einheit
2067-12-25,Erster Weihnachtstag
2067-12-26,Zweiter Weihnachtstag
2068-01-01,Neujahr
2068-04-20,Karfreitag
2068-04-23,Ostermontag
2068-05-01,Erster Mai
2068-05-31,Christi Himmelfahrt
2068-06-11,Pfingstmontag
2068-10-03,Tag der Deutschen Einheit
2068-12-25,Erster Weihnachtstag
2068-12-26,Zweiter Weihnachtstag
2069-01-01,Neujahr
2069-04-12,Karfreitag
2069-04-15,Ostermontag
2069-05-01,Erster Mai
2069-05-23,Christi Himmelfahrt
2069-06-03,Pfingstmontag
2069-10-03,Tag der Deutschen Einheit
2069-12-25,Erster Weihnachtstag
2069-12-26,Zweiter Weihnachtstag
2070-01-01,Neujahr
2070-03-28,Karfreitag
2070-03-31,Ostermontag
2070-05-01,Erster Mai
2070-05-08,Christi Himmelfahrt
2070-05-19,Pfingstmontag
2070-10-03,Tag der Deutschen Einheit
2070-12-25,Erster Weihnachtstag
2070-12-26,Zweiter Weihnachtstag
2071-01-01,Neujahr
2071-04-17,Karfreitag
2071-04-20,Ostermontag
2071-05-01,Erster Mai
2071-05-28,Christi Himmelfahrt
2071-06-08,Pfingstmontag
2071-10-03,Tag der Deutschen Einheit
2071-12-25,Erster Weihnachtstag
2071-12-26,Zweiter Weihnachtstag
2072-01-01,Neujahr
2072-04-08,Karfreitag
2072-04-11,Ostermontag
2072-05-01,Erster Mai
2072-05-19,Christi Himmelfahrt
2072-05-30,Pfingstmontag
2072-10-03,Tag der Deutschen Einheit
2072-12-25,Erster Weihnachtstag
2072-12-26,Zweiter Weihnachtstag
2073-01-01,Neujahr
2073-03-24,Karfreitag
2073-03-27,Ostermontag
2073-05-01,Erster Mai
2073-05-04,Christi Himmelfahrt
2073-05-15,Pfingstmontag
2073-10-03,Tag der Deutschen Einheit
2073-12-25,Erster Weihnachtstag
2073-12-26,Zweiter Weihnachtstag
2074-01-01,Neujahr
2074-04-13,Karfreitag
2074-04-16,Ostermontag
2074-05-01,Erster Mai
2074-05-24,Christi Himmelfahrt
2074-06-04,Pfingstmontag
2074-10-03,Tag der Deutschen Einheit
2074-12-25,Erster Weihnachtstag
2074-12-26,Zweiter Weihnachtstag
2075-01-01,Neujahr
2075-04-05,Karfreitag
2075-04-08,Ostermontag
2075-05-01,Erster Mai
2075-05-16,Christi Himmelfahrt
2075-05-27,Pfingstmontag
2075-10-03,Tag der Deutschen Einheit
2075-12-25,Erster Weihnachtstag
2075-12-26,Zweiter Weihnachtstag
2076-01-01,Neujahr
2076-04-17,Karfreitag
2076-04-20,Ostermontag
2076-05-01,Erster Mai
2076-05-28,Christi Himmelfahrt
2076-06-08,Pfingstmontag
2076-10-03,Tag der Deutschen Einheit
2076-12-25,Erster Weihnachtstag
2076-12-26,Zweiter Weihnachtstag
2077-01-01,Neujahr
2077-04-09,Karfreitag
2077-04-12,Ostermontag
2077-05-01,Erster Mai
2077-05-20,Christi Himmelfahrt
2077-05-31,Pfingstmontag
2077-10-03,Tag der Deutschen Einheit
2077-12-25,Erster Weihnachtstag
2077-12-26,Zweiter Weihnachtstag
2078-01-01,Neujahr
2078-04-01,Karfreitag
2078-04-04,Ostermontag
2078-05-01,Erster Mai
2078-05-12,Christi Himmelfahrt
2078-05-23,Pfingstmontag
2078-10-03,Tag der Deutschen Einheit
2078-12-25,Erster Weihnachtstag
2078-12-26,Zweiter Weihnachtstag
2079-01-01,Neujahr
2079-04-21,Karfreitag
2079-04-24,Ostermontag
2079-05-01,Erster Mai
2079-06-01,Christi Himmelfahrt
2079-06-12,Pfingstmontag
2079-10-03,Tag der Deutschen Einheit
2079-12-25,Erster Weihnachtstag
2079-12-26,Zweiter Weihnachtstag
2080-01-01,Neujahr
2080-04-05,Karfreitag
2080-04-08,Ostermontag
2080-05-01,Erster Mai
2080-05-16,Christi Himmelfahrt
2080-05-27,Pfingstmontag
2080-10-03,Tag der Deutschen Einheit
2080-12-25,Erster Weihnachtstag
2080-12-26,Zweiter Weihnachtstag
2081-01-01,Neujahr
2081-03-28,Karfreitag
2081-03-31,Ostermontag
2081-05-01,Erster Mai
2081-05-08,Christi Himmelfahrt
2081-05-19,Pfingstmontag
2081-10-03,Tag der Deutschen Einheit
2081-12-25,Erster Weihnachtstag
2081-12-26,Zweiter Weihnachtstag
2082-01-01,Neujahr
2082-04-17,Karfreitag
2082-04-20,Ostermontag
2082-05-01,Erster Mai
2082-05-28,Christi Himmelfahrt
2082-06-08,Pfingstmontag
